MP ID,Time (hours),Depth (m)
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.04590459045903,91.50996800033181
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.11791179117915,91.44384983651538
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.1899189918992,91.37773167269901
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.2619261926193,91.31161350888263
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.33393339333935,91.24549534506625
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.4059405940594,91.17937718124988
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.4779477947795,91.1132590174335
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.54995499549955,91.04714085361712
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.6219621962196,90.98102268980075
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.6939693969397,90.91490452598438
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.7659765976598,90.84878636216794
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.83798379837987,90.78266819835157
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.90999099909993,90.7165500345352
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",299.98199819982,90.65043187071882
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.05400540054006,90.58431370690244
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.12601260126013,90.51819554308607
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.1980198019802,90.4520773792697
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.27002700270026,90.38595921545331
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.3420342034203,90.31984105163694
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.41404140414045,90.25372288782052
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.4860486048605,90.18760472400413
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.5580558055806,90.12148656018776
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.63006300630065,90.05536839637139
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.7020702070207,89.98925023255501
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.7740774077408,89.92313206873862
